,campaign_name,date_start,date_stop,impressions,inline_link_clicks,spend,purchase_roas,actions,CPI,Revenue
0,Competition - Tim Hendricks Eagle - AND,2020-12-01,2020-12-01,2224,28,40.25,0,11.0,3.659090909090909,0
1,Competition - Tim Hendricks Eagle - iOS,2020-12-01,2020-12-01,1843,23,39.95,0,9.0,4.438888888888889,0
2,US - Launch Coloring Persona - iOS,2020-12-01,2020-12-01,16742,236,290.32,0,111.0,2.6154954954954954,0
3,US - Launch Coloring Persona - AND,2020-12-01,2020-12-01,15915,311,289.95,0,165.0,1.757272727272727,0
0,Competition - Tim Hendricks Eagle - AND,2020-12-02,2020-12-02,5209,56,98.73,0,29.0,3.4044827586206896,0
1,Competition - Tim Hendricks Eagle - iOS,2020-12-02,2020-12-02,4366,49,98.6,0,19.0,5.189473684210526,0
2,US - Launch Coloring Persona - iOS,2020-12-02,2020-12-02,13899,341,286.09,0,170.0,1.6828823529411763,0
3,US - Launch Coloring Persona - AND,2020-12-02,2020-12-02,14113,366,288.2,0,182.0,1.5835164835164834,0
0,Competition - Tim Hendricks Eagle - AND,2020-12-04,2020-12-04,6989,55,115.96,0,23.0,5.041739130434783,0
1,Competition - Tim Hendricks Eagle - iOS,2020-12-04,2020-12-04,4994,33,95.61,0,9.0,10.623333333333333,0
2,US - Launch Coloring Persona - iOS,2020-12-04,2020-12-04,12288,290,286.57,0,147.0,1.949455782312925,0
3,US - Launch Coloring Persona - AND,2020-12-04,2020-12-04,16058,396,288.68,0,244.0,1.1831147540983606,0
0,Competition - Tim Hendricks Eagle - AND,2020-12-03,2020-12-03,2746,21,41.29,0,10.0,4.129,0
1,Competition - Tim Hendricks Eagle - iOS,2020-12-03,2020-12-03,5272,49,101.02,0,20.0,5.051,0
2,US - Launch Coloring Persona - iOS,2020-12-03,2020-12-03,12668,276,288.55,0,138.0,2.0909420289855074,0
3,US - Launch Coloring Persona - AND,2020-12-03,2020-12-03,14805,355,288.79,0,196.0,1.473418367346939,0
0,Competition - Tim Hendricks Eagle - AND,2020-12-05,2020-12-05,7788,90,115.8,0,45.0,2.5733333333333333,0
1,Competition - Tim Hendricks Eagle - iOS,2020-12-05,2020-12-05,5570,39,98.42,0,9.0,10.935555555555556,0
2,US - Launch Coloring Persona - iOS,2020-12-05,2020-12-05,16634,324,288.35,0,195.0,1.478717948717949,0
3,US - Launch Coloring Persona - AND,2020-12-05,2020-12-05,23767,552,288.37,0,377.0,0.7649071618037135,0
0,Competition - Tim Hendricks Eagle - AND,2020-12-06,2020-12-06,7405,77,101.39,0,39.0,2.5997435897435897,0
1,Competition - Tim Hendricks Eagle - iOS,2020-12-06,2020-12-06,7104,62,103.28,0,27.0,3.8251851851851852,0
2,US - Launch Coloring Persona - iOS,2020-12-06,2020-12-06,19892,344,245.8,0,197.0,1.2477157360406093,0
3,US - Launch Coloring Persona - AND,2020-12-06,2020-12-06,24070,435,247.78,0,285.0,0.8694035087719298,0
0,Competition - Tim Hendricks Eagle - AND,2020-12-07,2020-12-07,7778,50,102.2,0,31.0,3.296774193548387,0
1,Competition - Tim Hendricks Eagle - iOS,2020-12-07,2020-12-07,8176,40,103.37,0,17.0,6.080588235294118,0
2,US - Launch Coloring Persona - iOS,2020-12-07,2020-12-07,19310,329,251.97,0,185.0,1.362,0
3,US - Launch Coloring Persona - AND,2020-12-07,2020-12-07,23663,381,250.96,0,252.0,0.9958730158730159,0
0,Competition - Tim Hendricks Eagle - AND,2020-12-08,2020-12-08,8206,60,103.25,0,28.0,3.6875,0
1,Competition - Tim Hendricks Eagle - iOS,2020-12-08,2020-12-08,11504,42,101.81,0,15.0,6.787333333333334,0
2,US - Launch Coloring Persona - iOS,2020-12-08,2020-12-08,25464,390,251.68,0,196.0,1.2840816326530613,0
3,US - Launch Coloring Persona - AND,2020-12-08,2020-12-08,25899,421,251.18,0,270.0,0.9302962962962963,0
0,Competition - Tim Hendricks Eagle - AND,2020-12-09,2020-12-09,3405,16,43.16,0,9.0,4.795555555555556,0
