,Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue Preferred,Event Source,Is Receipt Validated,Partner,Media Source,Channel,Keywords,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Sub Site ID,Sub Param 1,Sub Param 2,Sub Param 3,Sub Param 4,Sub Param 5,Cost Model,Cost Value,Cost Currency,Contributor 1 Partner,Contributor 1 Media Source,Contributor 1 Campaign,Contributor 1 Touch Type,Contributor 1 Touch Time,Contributor 2 Partner,Contributor 2 Media Source,Contributor 2 Campaign,Contributor 2 Touch Type,Contributor 2 Touch Time,Contributor 3 Partner,Contributor 3 Media Source,Contributor 3 Campaign,Contributor 3 Touch Type,Contributor 3 Touch Time,Region,Country Code,State,City,Postal Code,DMA,IP,WIFI,Operator,Carrier,Language,AppsFlyer ID,Advertising ID,IDFA,Android ID,Customer User ID,IMEI,IDFV,Platform,Device Type,OS Version,App Version,SDK Version,App ID,App Name,Bundle ID,Is Retargeting,Retargeting Conversion Type,Attribution Lookback,Reengagement Window,Is Primary Attribution,User Agent,HTTP Referrer,Original URL,Install App Store,Match Type,Contributor 1 Match Type,Contributor 2 Match Type,Contributor 3 Match Type,Device Category,Google Play Referrer,Google Play Click Time,Google Play Install Begin Time
0,click,2020-12-31 19:41:09,2020-12-31 19:42:25,2020-12-31 19:43:39,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""$4.99"",""af_success"":""True"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",$4.99,USD,4.99,SDK,,,Facebook Ads,Facebook,,US - Launch Coloring Persona - AND,23845987623610586,US - CC - Coloring Persona - AND - 7,2.3846031660510584e+16,US - CC - Artistic Escapism - 7,2.3846031660540584e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,TX,Nevada,75173,623,107.77.196.39,False,AT&T,AT&T,English,1609443742340-5073135353895798797,714e6e70-08d9-4751-bc66-7a361ee28fc2,,,,,,android,samsung-SM-A115AP,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Stress-Relief Colouring Book Games,com.foundryiv.colorcollab,False,,28d,,True,Dalvik/2.1.0 (Linux; U; Android 10; SM-A115AP Build/QP1A.190711.020),,,,srn,,,,phone,,,
1,click,2020-12-31 07:04:02,2020-12-31 08:47:37,2020-12-31 08:49:10,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,Facebook Ads,Instagram,,US - Launch Coloring Persona - AND,23845987623610586,US - CC - Coloring Persona - AND - 7,2.3846031660510584e+16,US - CC - Artistic Escapism - 7,2.3846031660540584e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,AK,Sitka,99835,747,24.237.119.253,True,AT&T,,English,1609404457544-8642762359282062317,5361ab3a-47e3-44e4-8403-e8f654c79ba2,,,,,,android,samsung-SM-G975U,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Stress-Relief Colouring Book Games,com.foundryiv.colorcollab,False,,28d,,True,Dalvik/2.1.0 (Linux; U; Android 10; SM-G975U Build/QP1A.190711.020),,,,srn,,,,phone,,,
2,click,2020-12-31 02:41:30,2020-12-31 03:20:00,2020-12-31 06:12:41,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""$4.99"",""af_success"":""True"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",$4.99,USD,4.99,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,KS,Wichita,67219,678,172.58.68.82,False,MetroPCS,Metro by T-Mobile,English,1609384794861-5847947554479059896,8438eca8-967d-4115-91ff-0cac998f77ad,,,,,,android,T-Mobile-5007Z,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; 5007Z Build/QP1A.190711.020),,,,srn,,,,phone,,,
3,click,2020-12-09 15:59:22,2020-12-09 16:00:00,2020-12-31 05:13:21,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""$4.99"",""af_success"":""True"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",$4.99,USD,4.99,SDK,,,Facebook Ads,Facebook,,US - Launch Coloring Persona - AND,23845987623610586,US - CC - Coloring Persona - AND - 7,2.3846031660510584e+16,US - CC - Artistic Escapism - 7,2.3846031660540584e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,CA,Fontana,92335,803,172.58.28.2,False,T-Mobile - US,T-Mobile,English,1607529597874-6223327937443394470,7d8b6e49-5789-4911-8bee-882a10b14324,,,,,,android,samsung-SM-G970U,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,28d,,True,Dalvik/2.1.0 (Linux; U; Android 10; SM-G970U Build/QP1A.190711.020),,,,srn,,,,phone,,,
4,click,2020-12-27 11:22:59,2020-12-28 03:24:09,2020-12-30 06:21:24,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$224.99"",""af_content_id"":""subscription_plus_yearly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,UT,Midvale,84047,770,73.98.170.190,True,,,English,1609125846046-2987081195960560626,c7eeaf54-799e-49e4-a941-674e8ece22df,,,,,,android,samsung-SM-T510,10,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 10; SM-T510 Build/QP1A.190711.020),,,,srn,,,,tablet,,,
5,click,2020-12-29 20:47:19,2020-12-29 20:49:55,2020-12-29 21:06:33,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$224.99"",""af_content_id"":""subscription_plus_yearly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,CA,Los Angeles,90002,803,76.94.157.141,False,,T-Mobile,English,1609274993741-7649297212767360939,d216f3f5-7db8-44cd-a1da-cd5ac5e8a1ed,,,,,,android,samsung-SM-N950U,9,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 9; SM-N950U Build/PPR1.180610.011),,,,srn,,,,phone,,,
6,click,2020-12-29 20:47:19,2020-12-29 20:49:55,2020-12-29 21:06:31,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,CA,Los Angeles,90002,803,76.94.157.141,False,,T-Mobile,English,1609274993741-7649297212767360939,d216f3f5-7db8-44cd-a1da-cd5ac5e8a1ed,,,,,,android,samsung-SM-N950U,9,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 9; SM-N950U Build/PPR1.180610.011),,,,srn,,,,phone,,,
7,click,2020-12-07 16:05:31,2020-12-07 16:11:08,2020-12-29 20:10:28,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,WI,Milwaukee,53209,617,104.231.210.106,False,T-Mobile,Metro by T-Mobile,English,1607357469888-8953368272039868733,43065d44-9c53-48fd-961b-6e341222e467,,,,,,android,TCL-5032W,9,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 9; 5032W Build/PPR1.180610.011),,,,srn,,,,phone,,,
8,click,2020-12-18 23:22:31,2020-12-18 23:27:46,2020-12-29 17:17:13,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""$4.99"",""af_success"":""True"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",$4.99,USD,4.99,SDK,,,googleadwords_int,UAC_Display,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,US,TX,Port O Connor,77982,618,104.243.14.11,True,AT&T,AT&T,English,1608334065512-8204394912783847353,c9e43efa-0e13-44ac-91fe-a399d6b1f1d4,,,,,,android,samsung-SM-G988U,11,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 11; SM-G988U Build/RP1A.200720.012),,,,srn,,,,phone,,,
9,click,2020-12-29 11:45:51,2020-12-29 11:50:29,2020-12-29 12:06:51,af_purchase,"{""af_currency"":""USD"",""af_revenue"":""0.0"",""af_success"":""False"",""af_price"":""$4.99"",""af_content_id"":""subscription_plus_monthly"",""af_quantity"":""1"",""af_content_type"":""subscription""}",0.0,USD,0.0,SDK,,,googleadwords_int,UAC_Search,,CC - US Launch - AND,11495112195,115192737351,115192737351.0,,,ClickToDownload,GoogleSearch,,,,,,,,,,,,,,,,,,,,,,,,,,US,ID,Boise,83704,757,174.254.192.24,False,Verizon, ,English,1609242621782-329218540052738224,c83106c4-6bbb-4026-8520-bcfc4a3ece0a,,,,,,android,samsung-SM-S767VL,9,2020.12.21-284,v5.4.1,com.foundryiv.colorcollab,Color Collab: Coloring-Book & Stress-Relief Games,com.foundryiv.colorcollab,False,,30d,,True,Dalvik/2.1.0 (Linux; U; Android 9; SM-S767VL Build/PPR1.180610.011),,,,srn,,,,phone,,,
